timestamp_utc,build_input_sha256,source_bytes,source_ast_nodes,source_statements,preprocessed_bytes,preprocessed_ast_nodes,preprocessed_statements,minified_bytes,minified_ast_nodes,minified_statements,constants,substituted_reads,folded_indexed_reads,python_version,python_minifier_version
2026-08-23T13:36:56+00:00,527e893df0391878f3b2760e9e5b3325bf9da958de617fada5b6f770dffad1f9,83470,14816,1659,59713,14304,1586,26959,14177,1585,34,195,24,3.11.16,3.2.0
2026-08-23T13:38:39+00:00,8dc205e682e2f0b74f420518837efe4a134301d476eeaf1d09077e4db9d1e0c0,83470,14816,1659,59713,14304,1586,26959,14177,1585,34,195,24,3.11.16,3.2.0
2026-08-23T13:39:33+00:00,69e7bba0eff379380c4295ffe384d291ae86ad85567799564d8e900a1f18fa7c,83364,14816,1659,59713,14304,1586,26959,14177,1585,34,195,24,3.11.16,3.2.0
2026-08-23T14:01:06+00:00,6a337c45a621dd1a62fd1b5569d8a80d35220588bc2fe544907b0c3eb56c8f99,83322,14808,1657,59542,14284,1582,26914,14157,1581,34,195,24,3.11.16,3.2.0
2026-08-23T14:10:52+00:00,6592d671b7437b175041515eb6f5fe8ffd7a165ee67ccf2053d31320143d9df6,83306,14806,1657,59525,14282,1582,26901,14155,1581,34,195,24,3.11.16,3.2.0
2026-08-23T14:51:48+00:00,fd4c837e278b99eaf013a866baed0b37cebb7637a96ab3dc2f1da260bdf4e137,83306,14806,1657,59525,14282,1582,26901,14155,1581,34,195,24,3.11.16,3.2.0
2026-08-23T15:27:45+00:00,8140f8664b173827d84c11812253a642f4237fb7a174211202bb82f513c6fb09,84067,14874,1666,54798,12795,1480,24221,12669,1480,31,166,24,3.11.16,3.2.0
2026-08-23T15:28:22+00:00,37dd64158fbaae3aa6e68b04bca4e398bacddc5f72eaed3142a2a039984a638c,83967,14874,1666,54798,12795,1480,24221,12669,1480,31,166,24,3.11.16,3.2.0
