timestamp_utc,build_input_sha256,source_bytes,source_ast_nodes,source_statements,preprocessed_bytes,preprocessed_ast_nodes,preprocessed_statements,minified_bytes,minified_ast_nodes,minified_statements,constants,substituted_reads,folded_indexed_reads,python_version,python_minifier_version
2026-08-23T13:36:57+00:00,eebe4f833b76192d2dbb9a193f01a28187a0958472fffa54be0a7e847a13a5f1,83470,14816,1659,57193,13822,1512,25962,13701,1512,34,192,24,3.11.16,3.2.0
2026-08-23T13:38:41+00:00,0e0f79009d12836dec06f839f77de2047969c548bca1dcd66122a75cbb6dce33,83470,14816,1659,57193,13822,1512,25962,13701,1512,34,192,24,3.11.16,3.2.0
2026-08-23T13:39:35+00:00,7eb05adba937d616f41514a6c4daf927c6993f5e7b75cfecb9dfa20ac0dc3c73,83364,14816,1659,57193,13822,1512,25962,13701,1512,34,192,24,3.11.16,3.2.0
2026-08-23T14:01:08+00:00,7e73999641be837caee47d098f3331ed8a4ab0a7ac9dbccfc28490fa583fb623,83322,14808,1657,57193,13822,1512,25962,13701,1512,34,192,24,3.11.16,3.2.0
2026-08-23T14:10:54+00:00,812300246bf23391b498ae54c3f7013f9e8041498e1761bc7fde05b6e294d122,83306,14806,1657,57193,13822,1512,25962,13701,1512,34,192,24,3.11.16,3.2.0
2026-08-23T14:51:45+00:00,58d8b8584a72841483b9bf242fa360fecb49f0cde6516b204d8faf9a99304c56,83306,14806,1657,57193,13822,1512,25962,13701,1512,34,192,24,3.11.16,3.2.0
